Term	Overlap	P-value	Adjusted P-value	minuslogQval	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
CUX2_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.18	0.02	SPTBN4;BRSK2;PTPRS;TMEM59L;ADCY1;RIMS4;FAM168A;CHN1;PHF24;KIF21A;DLGAP1;SLC17A7;NCAM1;CEP170;SRGAP3;PACSIN1;B4GALNT4;RBFOX2;CADM2;KCNJ9;CACNA2D1;NTRK3;DCLK2;HPCAL4;ADRA2A;SBK1;KCNS1;PPP2R2B;DOK6;DCHS1;FAT3;APBA1;TCF4;SCN2A;NPTXR;DSCAML1;ZNF532
TP63_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.17	0.02	LAD1;CSTA;CTNND1;CLTB;LAMC2;PTPRK;F11R;CXCL14;FAM83G;PPP1R13L;MICALL1;PLEK2;PTGFRN;ITGB6;CERS3;PCYT1A;GALNT3;TPRG1;AHNAK2;FZD6;RIPK4;EMP1;ATP11B;OSMR;KLK10;DUSP7;NET1;FERMT1;KLF5;ESRP1;FAT2;DSG1;RAB38;AMOTL1;DSC1;DSC3;TMEM45A
SOX6_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.17	0.02	ZNF254;OSCP1;TPTE2P2;SLC1A3;PPP1R9A;N4BP2L2;CCDC144A;NPAS3;FAM221A;KBTBD12;GNG2;KIAA1328;SCRN3;REV3L;ITGB8;DMD;SRGAP3;NTRK3;SCD5;ANKRD45;MAGI2;TEX35;DCLK2;SOX11;ARHGAP28;SPTB;SLC16A14;QKI;MAPK10;GSTA4;TEX9;ZNF737;C18ORF32;FXYD6;TCF4;FGF13;RNF165
KLF5_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.17	0.02	LAD1;CSTA;ST6GALNAC1;HPGD;CTNND1;CLTB;MST1R;F11R;CXCL14;HSD11B2;BAIAP2L1;TSPAN8;GBP3;ZBTB7C;SH3D19;CERS3;GALNT3;VDR;FZD6;RIPK4;PLEKHG6;ANO9;NET1;FERMT1;ACE2;SPINT1;DHRS9;TMEM54;FABP6;MYO5B;ESRP1;MGAT4B;TFF3;DSG1;ELMO3;LLGL2;DSC3
ZFHX2_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.23	0.02	C11ORF95;BRSK2;MAGEF1;STMN2;TPTE2P2;CIB2;SEZ6L2;LRRC55;C1ORF226;EFS;SVBP;DHRS7B;NCAM1;SRGAP3;CSMD1;ASIC1;CENPV;AC024060.1;CCDC136;STARD9;CBFA2T2;TCTE1;GRIN2D;GTPBP3;PGM5P2;RPL3P4;FAM222B;GAP43;SBK1;ZNF619;POU2AF1;REEP2;H3F3AP4;ZNF579;NACAD;RNF165
ZSCAN21_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.16	0.02	TMEM41A;DCTN2;NAIF1;NKAP;PANX1;MT-ATP6;MROH1;LGALS3;MAP1LC3B;MAEA;GRPEL2;FAM177A1;PGGT1B;PLXNA1;NCAM1;DUSP4;ZNF121;CENPV;KLHL25;AC024060.1;PIH1D1;GATB;ORMDL1;EBF3;GPN2;BAIAP2;ETV4;C12ORF76;NAP1L4;ENOX1;CNKSR1;GRIN3A;SPCS1;NABP2;TAF7;TMEM19;RAB7A
ZNF26_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.22	0.02	GPM6A;ZBTB8A;CRYBB2P1;HEPACAM;NKAP;ATP1A4;CACNA1D;LYPD5;ZNF8;CCDC144A;TTC28;ADAMTS4;FAM221A;ATXN3;CLN3;RPS6KA6;KIAA1328;HCAR1;ZNF506;LRAT;ME2;CNTLN;KCNJ3;POLR2J3;LRRC69;MORC4;ZNF283;ABCA9;KCNJ15;SSTR2;PGM5P2;SPIRE2;EBPL;WDPCP;ZNF556;ZNF431
ZKSCAN1_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.16	0.02	ZNF8;PPP1R9A;N4BP2L2;NPAS3;ZNF280D;FAM221A;KIAA1328;ZNF605;KIAA1324;MYO6;REV3L;ITGB8;KIF21A;S1PR2;SRGAP3;PAK3;POLR2J3;MAGI1;MORC4;ZNF283;CADM1;MAGI2;ABCA9;HUNK;CBFA2T2;SSTR2;TANC2;IRGQ;COL20A1;SPIRE2;CPE;WDPCP;FXYD6;PAM;STEAP2;SCG2;RNF165
HNF1B_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.21	0.02	ZBTB8A;HPN;CBWD3;GATA5;TGFA;SULT1A1;DPP4;BAIAP2L1;GPER1;CA4;FFAR4;GGT1;TINAG;MORC2;KCNJ2;S100A10;CA12;ABCC3;PAQR7;MYO10;PAQR5;DYNLT3;GFPT1;PLEKHG6;PDZK1IP1;KIAA1217;TMEM37;NR5A2;TBL1XR1;MYO5B;NABP1;CYSTM1;RAB17;FGFR4;DNASE1L3;CDKL1
HMBOX1_human_tf_ARCHS4_coexpression	35/299	0.94	1.00	0.00	0.10	0.24	-0.28	0.02	OSCP1;MACF1;MYCBP2;SMG1P6;ZNF8;N4BP2L2;CCDC144A;INPP5B;ZNF280D;ZNF808;FAM221A;KIAA1328;PDCD6IPP2;GOLGA6L9;FCHO1;ZNF506;REV3L;LINC01347;POLR2J3;ZNF460;NTRK3;STARD9;ANKRD45;ABCA9;TEX35;ARHGAP28;DDHD1;SMAD5;C12ORF76;WDPCP;PHIP;MDM4;TUBGCP4;SSBP2;ZNF431
TLX2_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.14	0.02	RET;PRDM8;B4GALT2;GTF3C1;CNTFR;DUXAP9;SMG5;APH1A;RGS5;PTBP1;PCBP4;PES1;TBX20;FDXR;KIF21A;SLIT3;B4GALNT4;CHGA;SLC10A4;USP5;STAC;CCDC137;EYA2;TBCD;SORCS1;AVPR1A;SSTR2;SMARCA4;EML5;NPLOC4;UBE2S;POLR1A;NMT1;SRSF2;LGR5;PRRT4;CERS2
DLX5_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.19	0.02	RTN3;MAGED1;MSANTD4;NREP;KLC1;TPGS2;SYNPR;ACTR1A;GNG2;PCBP4;NKIRAS2;MBIP;ST8SIA5;KIFAP3;RALGPS1;RAB2A;RBFOX2;CXADR;H3F3B;ST8SIA2;SOX11;SLC16A14;RAB33A;MAPK10;GSTA4;ARL2BP;RRAGB;CSDC2;C18ORF32;ZNF536;TAF7;PXYLP1;FXYD6;TCF4;SSBP2;CD200
ZNF24_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.14	0.02	MACF1;USP37;CELF1;MYCBP2;ARHGAP5;ELK4;GPR174;ARL5B;PPP4R2;TNKS2;ZMYM4;KIF5B;SACS;TLK2;GABPA;EIF4B;SLAMF1;USP24;PHF10;FEM1B;ZFP91;ATP11B;DICER1;MEX3C;SMAD5;RC3H2;QKI;PTBP3;EEF1A1;RAP2A;RALGAPB;WNK1;SERBP1;UBA2;STRN;NHLRC2;NEMP1
PCSK6_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.14	0.02	ITIH3;SERPINA1;ADH1C;ADH1B;SERPINC1;SHMT1;HPN;STAB2;ACSM5;SERPINA5;C3;ZSCAN31;PRKAR2B;AMDHD1;TUBB1;C1RL;LEPR;AOX1;APOB;ACAA1;OIT3;ABCC3;SERPIND1;AHSG;BHMT2;GP1BA;AVPR1A;MLXIPL;RBP4;POR;LRG1;ASPG;SARDH;FGFR4;HPD;CFB;CERS2
ZFP64_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.19	0.02	CRYBB2P1;DCTN2;ZFAND6;TCF23;ATP1A4;TPTE2P2;KLHL35;LYPD5;ADAMTS4;FAM221A;HCAR1;FAM177A1;ZNF286B;ERC1;CENPV;ZNF283;FCRL5;HUNK;EBF3;SOX11;C6ORF141;SSTR2;C12ORF76;KLF8;PGM5P2;GRIN3A;RAD51C;ZNF714;NABP2;SPIRE2;PHIP;CIAPIN1;ZNF556;CCDC150;UBE2Q2P2;RNF165
RFX5_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.14	0.02	GTF3C1;POM121;CIITA;ADPGK;INPPL1;PIK3CD;KIAA0040;SMG5;APH1A;PTBP1;GPR132;SEPT6;IRAK1;PPP6R1;PES1;PCED1A;CHAD;CMTR1;EIF4B;ZNF740;CLUH;DENND4B;EDEM1;TMC8;RUNX3;EML3;EEF1A1;PFKL;IRF4;CCDC88C;RAPGEF1;CD48;ESYT1;TKT;NEMP1;MS4A1;CD22
ZBTB45_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.13	0.02	URM1;CCDC106;UBE2J2;PTBP1;TMEM102;KLC2;DPP7;PPP6R1;PES1;PCED1A;NACC1;TMEM129;C9ORF16;SDF4;FADD;MGAT2;RABAC1;YKT6;ABCD1;AP2M1;PDLIM7;DGCR2;VPS18;CLUH;USP5;PTGES2;SHISA5;FAM207A;JOSD2;DOHH;ATAD3A;PFKL;RPUSD1;ERF;NUCB1;CDK16;SLC27A4
TP73_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.18	0.02	PRDM8;TTC25;C2ORF40;LRRC10B;CETN2;MAST2;CCDC146;DNAH9;CELSR1;ABCA13;WFDC2;DNALI1;ZMIZ2;CDH23;TNFRSF8;GAS2L2;DNAI1;ZBTB7C;CHST8;DNAH10;EYA2;RABL2B;BAIAP2;MAPK15;C9ORF116;SDK1;ALDH3A1;DHRS9;IRF4;TSPAN19;POU2AF1;CCDC88C;ECT2L;CFAP53;SAXO2;DRC3
ZNF512B_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.13	0.02	GTF3C1;POM121;CUL7;TMEM63B;CHPF;MAML1;INPPL1;SMG5;APH1A;NDST1;PTBP1;KLC2;MPRIP;IRAK1;PPP6R1;ZMIZ2;AKT2;PES1;NACC1;SDF4;PLXNA1;AMH;B4GALNT4;CLUH;PCYT2;USP5;ATAD3A;SREBF2;PFKL;FASN;CARM1;MGAT4B;ERF;MEGF8;LSM14B;CDK16;CERS2
YEATS2_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.12	0.02	GTF3C1;MACF1;POM121;CUL7;PTPRS;CELF1;MAST2;MYCBP2;INPPL1;LAMC1;SMG5;PTBP1;MPRIP;ZMYM4;NACC1;PIEZO2;SACS;PLXNA1;CLASP1;EIF4B;USP5;STARD9;MEX3C;SREBF2;SMARCA4;BCR;RALGAPB;WNK1;POLR1A;CARM1;TET3;STRN;MEGF8;LSM14B;NEMP1;ZNF532;SUGP2
MTA3_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.15	0.01	AHCY;MGST1;GJC1;GPR176;RIMS4;UGP2;GTF2IP4;RBPMS2;DNMT3B;PHGDH;GPC4;MAGI1;CENPU;SEMA6A;NLGN4X;PAWR;USP28;GULP1;HAUS1;CLDN6;FAM222B;SFRP1;SFRP2;FRAS1;VANGL2;MSH2;RAB15;ESRP1;MFAP2;TYRO3;MCM6;ALDH7A1;TDGF1;ZNF532;PHC1P1;FGFR2
MLXIPL_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.11	0.01	ITIH3;SERPINA1;ADH1C;EXOC3L4;ADH1B;SERPINC1;SHMT1;HPN;ACSM5;PCSK6;KHK;SERPINA5;C3;C1RL;AOX1;APOB;ACAA1;PCYT2;SERPIND1;AHSG;BHMT2;TMEM176B;RARRES2;GPT2;NR0B2;DHRS2;RBP4;POR;TF;LRG1;ASPG;SARDH;NOTUM;RAB17;FGFR4;HPD;CFB
ZNF117_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.15	0.01	ZNF254;NREP;N4BP2L2;CCDC144A;EPB41L4A;GNG2;KIAA1841;REV3L;CEP170;SRGAP3;USP47;MORC4;CXADR;GCA;NAA10;ZNF480;ST8SIA2;H3F3A;TEX35;SOX11;DDHD1;GSTA4;SESTD1;TEX9;ZNF737;ZNF714;C18ORF32;WDPCP;PHIP;MDM4;TCF4;MCTP2;SSBP2;CD200;UBE2Q2P2;ZNF431
MNT_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.15	0.01	ZNF276;AKNA;LST1;PIK3CD;ARRB2;CFP;FAM214B;ZNF8;TRIOBP;ADGRG3;FAM221A;ZMIZ2;ZNF506;PSD4;TRIM66;WDTC1;PLXNA3;POLR2J3;NTNG2;JUND;VPS9D1;DENND4B;NFAM1;EPN1;EML3;SMARCA4;ABTB1;LRG1;SBK1;ATG16L2;PACS1;DMWD;SPIRE2;ADAM8;MYO1F;RNF165
ATF6_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.15	0.01	NRP1;ARHGEF28;HEXA;FAM129A;ARL1;LIN7C;PVR;PAPSS2;STRN3;ELK4;RAB21;LACTB;KIAA1324;REV3L;CADM1;MYO10;EDEM1;TMEM176B;DYNLT3;PAX3;ARHGAP29;ZFP91;ATP11B;DICER1;OXSR1;ENAH;IBTK;OSTM1;HEATR5A;CALU;BMP2K;FAS;NABP1;SRPRB;ERCC6;ADGRL4
ZNF777_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.11	0.01	B4GALT2;GTF3C1;POM121;TMEM63B;INPPL1;SLC1A5;SMG5;APH1A;PTBP1;IRAK1;PPP6R1;ZMIZ2;PES1;NACC1;SDF4;PLXNA1;PRKACA;YKT6;WDTC1;CLUH;USP5;TFE3;ATAD3A;SREBF2;SH3BP5L;PKM;PACS1;UBE2S;CARM1;MAPKAPK2;MGAT4B;RAPGEF1;ERF;NUCB1;CHMP4B;LSM14B;CDK16
ZGPAT_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.14	0.01	DENND1C;GRN;AKNA;SLC43A2;PIK3CD;ARRB2;UBE2J2;LY9;DPP7;PPP6R1;PSD4;RAC2;TBC1D10C;SDF4;ACAA1;S1PR4;YKT6;ABCD1;IER2;TRGC2;DGCR2;NSUN5P1;ZDHHC12;TMC8;TNFRSF1B;EML3;HLA-E;OSCAR;ITPKB;SIGIRR;NINJ1;CD7;MAPKAPK2;BCL3;NUCB1;ADAM8
KRTAP5-1_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.14	0.01	LRRC15;LAD1;KRT80;SYCP2;IDUA;NXPH4;CLTB;INPPL1;TCHH;AC234582.1;GATA3;CXCL14;HID1;FAM83G;PPP1R13L;RHPN1;HSF4;D2HGDH;OXCT2;B4GALNT4;CERS3;ENTPD2;DGAT2;DMPK;GPT2;CDC42BPG;CIDEA;RASSF7;ANO9;KRT32;FA2H;ANGPTL7;HOOK2;ELMO3;LLGL2;SLC27A4
ZNF335_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.10	0.01	ZNF276;DENND1C;AKNA;RGS14;IDUA;INPPL1;PIK3CD;ARRB2;ITGAL;CORO1A;LIMD2;PPP6R1;ZMIZ2;PSD4;TBC1D10C;FYN;JUNB;WDTC1;DENND4B;SEMA4D;TMC8;ARHGEF18;RUNX3;DGKZ;EML3;HLA-E;ABTB1;ZAP70;CD6;PACS1;CCDC88C;BCL3;RAPGEF1;ADAM8;STK40;MYO1F;ENGASE
ZNF783_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.14	0.01	ZNF276;DENND1C;CIITA;AKNA;KLHL14;DOCK8;PIK3CD;ITGAL;IKZF3;ETS1;IL1RL1;FCHO1;PPP6R1;ZMIZ2;PSD4;TBC1D10C;SLAMF6;D2HGDH;NSUN5P1;JUND;CNTNAP3P1;DENND4B;SEMA4D;SYTL1;TMC8;ANO9;NFATC1;RUNX3;EML3;HLA-E;ZAP70;CD6;CD5;PACS1;CCDC88C;ENGASE
KLF14_human_tf_ARCHS4_coexpression	35/299	0.94	1.00	0.00	0.10	0.24	-0.19	0.01	GTF2IRD2P1;B4GALT2;PRR7;TNXA;HSPB6;URM1;MAST2;MRPS12;SNX12;TGFA;LAMC1;PLD2;FGF5;DNAJB1;RPS16;EGFLAM;C7;IRAK1;PACSIN3;YKT6;S100A10;TCEAL9;CNTLN;OSR2;COPZ2;JOSD2;ST6GALNAC4P1;NPLOC4;NEMP2;ARMC10;RPUSD1;UBE2S;RAB34;RPP25;CDK16
HMX3_human_tf_ARCHS4_coexpression	35/299	0.94	1.00	0.00	0.10	0.24	-0.17	0.01	POM121;EEF1A1P5;HNRNPA1P66;SOWAHC;SMG5;FAM171A1;PTBP1;GPR132;TNFRSF8;PRAME;FADD;SLC15A4;ABCD1;DGCR2;HLA-H;DUSP2;CCL22;ENTPD6;ELMOD1;GPR55;GPR75;FAM207A;NUDT16L1;RUNX3;MEX3C;MCOLN2;BET1L;IRF4;POU2AF1;SRSF2;TNFSF9;CD48;GTF2H2B;CD22;SLC27A4
ESR2_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.12	0.01	RET;TMEM63B;CHPF;SEMA3C;IDUA;CCDC47;NAB2;INPPL1;GATA3;SLC1A5;CELSR1;PTPRF;HID1;MROH1;CASP7;PES1;KIAA1324;TMED3;RHPN1;CTSD;PLXNA3;CA12;HOMER2;ELOVL2;PCGF3;SLC10A3;GFRA1;C6ORF141;ESR1;BMP7;PFKL;PKM;TSPAN13;TRIM37;GAPDH;LLGL2
SHPRH_human_tf_ARCHS4_coexpression	35/299	0.94	1.00	0.00	0.10	0.24	-0.17	0.01	SHC4;ATP10B;CTCF;ZNF8;N4BP2L2;LCLAT1;CCDC144A;ZNF280D;ATXN3;EPB41L4A;KIAA1328;REV3L;MORC4;FCRL5;ZNF480;ASCC1;MAGI2;ABCA9;TEX35;ARHGAP28;DDHD1;KLF8;FNDC4;TEX9;ZNF714;WDPCP;PHIP;MDM4;TCF4;UPF3AP2;FGF13;ZNF431;RNF165;TMEM45A;BMPR1A
RGS7_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.08	0.01	SLC24A2;CAMK2B;SPTBN4;RTN3;TMEM59L;AGAP2;ADCY1;ENO2;PRKCZ;SYNPR;DPP6;TSPAN7;CHN1;CKMT1B;DLGAP1;SLC17A7;PACSIN1;WSB2;CADM2;KCNJ9;ELMOD1;ATP1B2;ATP1B1;SEZ6L;HPCAL4;KCNS1;B4GAT1;RCAN2;CNTN1;C16ORF45;CPE;APBA1;SCN2A;PLCB1;NPTXR;SCG2;STX1A
CREB1_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.11	0.01	ZNF254;NREP;N4BP2L2;ZNF808;MTATP8P2;GNG2;CAPN6;ZNF506;KIAA1841;ST8SIA4;REV3L;HEATR4;C21ORF91;SRGAP3;UTY;ARID2;LBR;USP47;PBRM1;GCA;APAF1;H3F3A;TEX35;SOX11;DICER1;ENAH;GSTA4;ZNF737;ZNF714;PELI1;PHIP;MDM4;TCF4;CRLF3;SSBP2;ZNF431
ZBED3_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.11	0.01	CEBPA;POM121;FOXC1;CPQ;NPR1;STMN3;MTND4P24;TSKU;HID1;MT-ATP6;LIPE;PTBP1;PDPR;MLEC;AOC3;CLUH;FEM1B;GPT2;ADIPOQ;SORD;CABLES1;JMJD8;CIDEC;SREBF2;MTCYBP18;GPAM;WNK1;WT1;FASN;NFIC;GPD1;ERF;PLIN1;ERG;PRRT4;RNF220
GLI3_human_tf_ARCHS4_coexpression	35/299	0.94	1.00	0.00	0.10	0.24	-0.14	0.01	CRB2;CNTFR;PTPRS;PCDHGB9P;SHB;DACH1;EFS;PPP2R1B;SVBP;ZNF286B;SOX9;SRGAP3;CDON;USP47;CENPV;TFAP2C;ZNF460;TLE1;ST8SIA2;NTRK3;IGFBP2;NR2F1;POMGNT1;HAUS1;SFRP2;VANGL2;DAB1;TMEM98;SMO;MFAP2;ZNF532;NES;UBE2Q2P2;FGFR2;SPSB4
MECP2_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.10	0.01	ZNF276;MACF1;SPTBN4;POM121;AKNA;WBP2;MAML1;MYCBP2;AGAP2;PTPRJ;ETS1;ADD1;ZFYVE28;KLC2;FAM168A;MPRIP;PPP6R1;ZMIZ2;SPOCK2;AKT2;NACC2;PRKACA;WDTC1;ZER1;DENND4B;SEMA4D;DGKZ;ITPKB;WNK1;PACS1;DNAJC5;CCDC88C;RAPGEF1;SUGP2;STK40;ENGASE
FOXP1_human_tf_ARCHS4_coexpression	34/299	0.96	1.00	0.00	0.13	0.30	-0.19	0.01	COLEC12;CAMK2B;GPM6A;ZBTB8A;HEPACAM;RGS16;CBWD3;CACNA1D;KIAA1210;TTC28;SULT1A1;FKBP9P1;DPP6;RPS6KA6;ITPRIPL1;FFAR4;ME2;MORC2;KCNJ2;CNTLN;KCNJ3;LRRC69;PAQR7;EYA1;MYO10;HSPA4;GFPT1;ZDHHC14;IRF1;MAFF;NABP1;MIXL1;RNF122;CDKL1
ZNF48_human_tf_ARCHS4_coexpression	35/299	0.94	1.00	0.00	0.10	0.24	-0.13	0.01	CRB2;C11ORF95;MAGEF1;COX17P1;NKD2;MT-ATP6;EFS;SVBP;EVI5L;PATZ1;LRRC4B;B4GALNT4;HES6;C8ORF58;CENPV;RPS9;TLE1;SEMA6A;H3F3A;IGFBP2;PDAP1;GTPBP3;SMARCA4;C1ORF122;RPL3P4;HIC2;RRAGA;CARHSP1;SFRP2;SBK1;UBE2S;RAB15;NABP2;ZNF579;LSM14B
BAZ2B_human_tf_ARCHS4_coexpression	35/299	0.94	1.00	0.00	0.10	0.24	-0.13	0.01	ZNF254;ZNF8;PPP1R9A;N4BP2L2;PCDH17;CCDC144A;ZNF280D;FAM221A;EPB41L4A;KIAA1328;DACH1;ZNF506;KIAA1841;REV3L;SRGAP3;MAGI1;MORC4;MAGI2;ABCA9;SOX11;ARHGAP28;DDHD1;CBFA2T2;SSTR2;MAPK10;PGM5P2;TEX9;ZNF714;WDPCP;ZNF579;PHIP;MDM4;FGF13;ZNF431;RNF165
MLLT3_human_tf_ARCHS4_coexpression	34/299	0.96	1.00	0.00	0.13	0.30	-0.18	0.01	SLC24A2;CAMK2B;GPM6A;ZBTB8A;HEPACAM;RGS16;CBWD3;CACNA1D;TTC28;SULT1A1;FKBP9P1;DPP6;RPS6KA6;PDCD6IPP2;RASGEF1B;TCF3P1;ME2;MORC2;STUM;KCNJ2;CNTLN;KCNJ3;LRRC69;PAQR7;CADM1;MYO10;HSPA4;GFPT1;KCNJ15;NAP1L1P3;MAFF;NABP1;MIXL1;RNF122
SMAD2_human_tf_ARCHS4_coexpression	35/299	0.94	1.00	0.00	0.10	0.24	-0.12	0.01	ZBTB8A;CRYBB2P1;ATP10B;ZNF8;N4BP2L2;LCLAT1;CCDC144A;STRN3;ZNF280D;ADAMTS4;ATXN3;FAM221A;EPB41L4A;KIAA1328;ZNF506;REV3L;ZNF124;MFSD4B;POLR2J3;ZNF121;MORC4;ABCA9;ARHGAP28;DDHD1;C12ORF76;TTC39B;KLF8;RPS4XP5;TBL1XR1;TEX9;WDPCP;MDM4;ZNF556;FGF13;TMEM45A
HNF4G_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.08	0.01	ST6GALNAC1;ASAH2;HPGD;GDA;REP15;ATP10B;HSD17B11;KHK;JCHAIN;DPP4;HSD11B2;LGALS2;APOL6;TSPAN8;FAM3B;APOB;TINAG;GBP3;SH3D19;MME;GALNT3;VDR;PLEKHG6;ANO9;CYBRD1;APOA4;ACE2;NR5A2;KLF5;CLDN15;TMEM54;FABP6;MYO5B;GPR160;TFF3;CMPK1
TFAP2A_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.08	0.01	FOXC1;CSTA;KRT80;SEMA3C;IER5L;INPPL1;GATA3;CELSR1;PTPRF;FAM83G;PPP1R13L;MICALL1;DAG1;SH3BP4;PLXNA1;PTGFRN;CERS3;TFAP2C;CLUH;IRX5;TMOD3;CDC42BPG;FZD6;RIPK4;EMP1;CABLES1;OSMR;KLF5;FASN;GIPC1;DSG1;SIK1;CDK16;PTGES;DSC3;TMEM45A
ZNF627_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.08	0.01	ZNF254;RTN3;MAGED1;NREP;KLC1;MFSD13A;GNG2;TCTN2;KIAA1841;ZNF449;ZNF669;CEP170;SRGAP3;KIFAP3;C3ORF14;ZNF124;RAB2A;ZNF460;ANGPT2;CXADR;CADM1;ST8SIA2;SOX11;SLC16A14;TMEFF2;GSTA4;ZNF737;ZNF714;PCDHB16;C18ORF32;ZNF536;FXYD6;TCF4;COPS8;SSBP2;CD200
ETV5_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.08	0.01	TRIL;SLC1A3;PTN;LAMC1;EPS8;FAM162B;AP002884.2;BCAP29;HAS2;PLXNA1;PTGFRN;SOX9;SASH1;SEMA6A;HOMER1;DIO2;ARHGAP29;PROX1;ATP1B2;MRPS7;SEZ6L;S100B;KNSTRN;ETV4;DUSP6;QKI;DCBLD2;ENAH;POLA1;MTAP;PPFIBP1;FRMD6;OSTM1;CALU;RAB38;GAPDH
CSDE1_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.07	0.01	RET;GTF3C1;KRT80;SEMA3C;CCDC47;SETD7;INPPL1;ZDHHC7;GATA3;GSPT1;SMG5;APH1A;PES1;KIF5B;GTF2IP4;NACC1;TLK2;MLEC;PACSIN3;EIF4B;CACNG4;TOMM70;CLUH;MREG;USP5;FZD6;ZFP91;GFRA1;ESR1;BMP7;PKM;CARM1;SERBP1;UBA2;LLGL2;CERS2
GATA2_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.07	0.01	FAM57A;GMPR;ZBTB42;ICAM4;COMT;ZFP36L2;ETS2;LIMD2;NT5C;RASSF1;SEPT6;DPP7;TESPA1;FCHO1;MYC;MAF1;RILP;SCARF1;CD34;ZNF521;BORCS6;CEP68;KCNH2;NFE2;PTGES2;TPST2;HSH2D;RPUSD1;TAL1;NINJ2;P2RX1;TUBGCP4;PTPN7;ERG;ACPP;RNF220
SIX6_human_tf_ARCHS4_coexpression	35/299	0.94	1.00	0.00	0.10	0.24	-0.09	0.01	CFD;SLC22A3;TSKU;ZFP36L1;ZFP36;UGP2;CASP12;EGFLAM;KCNMB1;TSPAN4;LEPR;LRAT;MTPAP;E2F8;CENPU;ZNF121;CXADR;NLGN4X;TNFRSF19;ARMC9;P3H4;SHISA2;FAM136A;WDR54;ANO2;GULP1;ENAH;SFRP2;MSH2;STK26;MAK;MFAP2;TDGF1;SRSF7;SPSB4
